legacy_id,name,active_ingredient,parent_group,child_group,unit,unit_price,purchase_price,supplier,image_url
VD-24706-16,CEDETAMIN (Vỉ màu xanh),"Betamethason 0.25mg, Dexchlorpheniramin 2mg",4. KHÁNG HISTAMIN H1,Thế hệ 1,Viên,0,0,,
VD-21516-14,DEXAMETHASONE (Imexpharm),Dexamethason 0.5mg,2. GIẢM ĐAU KHÁNG VIÊM,B. Corticoid,Viên,0,0,,
VD-12154-10,DEXAMETHASON (Tipharco - Tiền Giang),Dexamethason 0.5mg,2. GIẢM ĐAU KHÁNG VIÊM,B. Corticoid,Viên,0,0,,
VD-15228-11,DEXAMETHASON (Bepharco - Bến Tre),Dexamethason 0.5mg,2. GIẢM ĐAU KHÁNG VIÊM,B. Corticoid,Viên,0,0,,
VD-25381-16,DEXAMETHASON (Hadiphar - Hà Tĩnh),Dexamethason 0.5mg,2. GIẢM ĐAU KHÁNG VIÊM,B. Corticoid,Viên,0,0,,
VD-25081-16,NEO-PYRAZON,Diclofenac natri 50mg,2. GIẢM ĐAU KHÁNG VIÊM,A. NSAID,Viên,0,0,,
VD-25595-16,MELOXICAM 7.5mg,Meloxicam 7.5mg,2. GIẢM ĐAU KHÁNG VIÊM,A. NSAID,Viên,0,0,,
VD-23645-15,MENPEPTINE,"Papain, Alpha-amylase, Simethicone",7. NHÓM TIÊU HOÁ,F. Men vi sinh / Men tiêu hóa,Viên,0,0,,
VN-17154-13,NEOPEPTINE,"Alpha-amylase, Papain, Simethicone",7. NHÓM TIÊU HOÁ,F. Men vi sinh / Men tiêu hóa,Viên,0,0,,
VN-19602-16,GASICONE 80,Simethicone 80mg,7. NHÓM TIÊU HOÁ,B. Antacid (Giảm đầy hơi),Viên,0,0,,
VD-21644-14,OMEPRAZOL 20,Omeprazol 20mg,7. NHÓM TIÊU HOÁ,A. PPI,Viên,0,0,,
VD-24508-16,IBOTEN,Trimebutin maleat 100mg,2. GIẢM ĐAU KHÁNG VIÊM,A. NSAID (Phối hợp),Viên,0,0,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTie0Y8H7VcnAF4kNqoE1JLatj6AFpaDhYGLzd6owpk-WvdWWY_8_1FtlThgxF3
VD-20412-14,NEUTRI FORE,"Vitamin B1, B6, B12 (Liều cao)",12. VITAMIN & KHOÁNG CHẤT,Nhóm Vitamin B,Viên,0,0,,https://www.nhathuocankhang.com/thuoc-bo-va-vitamin/neutri-fore-h-100v
VD-30511-18,GLUCOSAMINE 500,Glucosamine sulfate,13. THỰC PHẨM CHỨC NĂNG,Hỗ trợ xương khớp,Viên,0,0,,
VD-21510-14,HAPACOL PRIME 500,"Paracetamol 500mg, Ibuprofen 200",2. GIẢM ĐAU KHÁNG VIÊM,Giảm đau hạ sốt,Viên,0,0,,
VD-21394-14,MASTIGEL,"Magnesi hydroxyd, Nhôm hydroxyd, Simethicone",7. NHÓM TIÊU HOÁ,B. Antacid,Viên,0,0,,
VD-25032-16,TETRACYCLIN 500,Tetracyclin 500mg,1. KHÁNG SINH,E. Nhóm Cyclin,Viên,0,0,,
VD-25217-16,AMPICILLIN 500,Ampicillin 500mg,1. KHÁNG SINH,A. Betalactam (Penicilin),Viên,0,0,,
VD-32001-19,PANCRETINE-MDP,"Pancreatin, Simethicone",7. NHÓM TIÊU HOÁ,F. Men vi sinh / Men tiêu hóa,Viên,0,0,,
